id,style
veh_0_aggressive,aggressive
veh_0_normal,normal
veh_1_aggressive,aggressive
veh_1_normal,normal
veh_2_aggressive,aggressive
veh_2_normal,normal
veh_3_aggressive,aggressive
veh_3_normal,normal
veh_4_aggressive,aggressive
veh_4_normal,normal
veh_5_aggressive,aggressive
veh_5_normal,normal
veh_6_aggressive,aggressive
veh_6_normal,normal
veh_7_aggressive,aggressive
veh_7_normal,normal
veh_8_aggressive,aggressive
veh_8_normal,normal
veh_9_aggressive,aggressive
veh_9_normal,normal
